gene.name,SGDID,GeneSymbol,GeneLength,BiologicalProcess,MolecularFunction,CellularComponent,essentiality,Degree40,Closeness40,Cluster.coeff40,color40,Degree50,Closeness50,Cluster.coeff50,color50,Degree65,Closeness65,Cluster.coeff65,color65,Degree70,Closeness70,Cluster.coeff70,Degree85,Closeness85,Cluster.coeff85,color85,Degree90,Closeness90,Cluster.coeff90,color90,Betweenness85,cln3.1,clb2.1,alpha0,alpha14,alpha21,alpha28,alpha35,alpha42,alpha49,alpha56,alpha63,alpha70,alpha77,alpha84,alpha98,alpha105,alpha112,alpha119,cdc28_0,cdc28_10,cdc28_20,cdc28_30,cdc28_40,cdc28_50,cdc28_60,cdc28_70,cdc28_80,cdc28_90,cdc28_100,cdc28_120,elu0,elu30,elu60,elu90,elu120,elu150,elu180,elu210,elu240,elu270,elu300,elu330,elu360,elu390
YAL012W,S000000010,CYS3,1185,sulfur amino acid metabolism,cystathionine gamma-lyase activity,cytoplasm,0,1280,0.543121,0.12298549,turquoise,508,0.4620985,0.121014459,turquoise,54,0.2972751,0.107617051,black,16,0.2323081,0.06666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.22,-0.17,0.02,-0.49,-0.3,-0.15,-0.24,0.4,0.53,0.25,0.49,-0.3,0.13,-0.12,-0.19,0.47,0.06,0.13,-0.18,-0.31,-0.23,-0.2,0.84,-0.37,0.47,0.19,-0.4,0.41,-0.25,-0.09,-1.31,0.31,NA,0.07,0.11,0.17,0.27,0.03,0.09,0.47,-0.08,0.11,-0.41,0.16
YAL013W,S000000011,DEP1,1263,regulation of transcription from Pol II promoter,NA,NA,0,448,0.5129554,0.08526087,grey,100,0.4142324,0.063838384,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34,-0.29,-0.36,0,-0.32,-0.27,-0.12,0.04,0.17,0.06,0.06,0.28,0.38,-0.23,0.05,0.58,-0.25,0.24,-0.49,-0.12,-0.44,-0.82,0.67,-0.62,0.38,0.6,0,0.63,0.14,0.07,0.68,-0.14,-0.26,0.23,0,-0.23,0,0.21,-0.02,-0.02,-0.33,0.03,-0.23,0.07
YAL016W,S000000014,TPD3,1908,protein biosynthesis,protein phosphatase type 2A activity,cytoplasm,0,264,0.499875,0.11988708,brown,54,0.3924051,0.089447939,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42,0.32,0.06,0.17,-0.14,0.01,-0.24,0.15,-1.34,0.15,0.06,0.01,0.18,0.09,0.18,0.14,0.3,0.17,-0.53,-0.1,0.04,NA,0.01,-0.19,0.54,0.05,-0.25,0.44,-0.05,-0.05,0.83,-0.45,-0.43,0.05,-0.54,-0.39,0.03,-0.1,0.45,0.16,-0.39,0.42,0.13,0.23
YAL017W,S000000015,PSK1,4071,protein amino acid phosphorylation,protein serine/threonine kinase activity,cytoplasm,0,2000,0.571449,0.09026113,turquoise,974,0.5096215,0.079531329,turquoise,140,0.3308065,0.062281603,turquoise,40,0.2759463,0.07435897,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,-0.32,-0.4,0.19,-0.2,-0.09,0.41,0.13,-0.05,-0.29,0.06,-0.16,0.17,-0.32,0.18,0.21,0.23,NA,NA,-1.15,-0.85,-0.56,0.52,-0.26,0.08,-0.11,-0.19,0.29,0.64,0.63,1.18,-0.13,-0.07,-0.13,-0.55,-0.66,-0.34,-0.09,0.15,0.08,-0.25,0.42,0.34,0.03
YAL018C,S000000016,NA,978,NA,NA,NA,0,314,0.5031454,0.10828025,blue,60,0.3875376,0.098305085,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.29,-0.01,0.46,0.16,-1.72,0.33,0.05,0.22,0.3,0,0.22,-0.15,-0.06,0.11,0.22,0.05,-0.15,0.16,1.24,0.43,0.38,0.09,-0.12,-0.7,-0.04,-0.15,-0.23,-0.45,0.21,0.06,-0.24,1.13,0.07,0.47,0.34,-0.15,-0.29,-0.24,-0.08,-0.52,-0.15,-0.22,-0.49,0.36
YAL019W,S000000017,FUN30,3396,chromosome organization and biogenesis (sensu Eukarya),NA,nucleus,0,1576,0.5541084,0.13627669,turquoise,770,0.4748842,0.140053704,turquoise,84,0.3082553,0.1589214,turquoise,20,0.2579909,0.15263158,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,-0.12,-0.24,-0.23,0.12,-0.02,0.23,-0.11,0.11,0,0.16,0.19,0.35,0.02,-0.14,0.07,0.23,0.09,0.18,0.06,0.44,-0.23,0.36,-0.29,0.41,0.28,-0.1,0.16,-0.03,-0.12,-0.93,-0.13,-0.11,0.23,0.77,0.42,0.22,0.15,0.06,0.34,-0.11,-0.26,-0.36,-0.28
YAL020C,S000000018,ATS1,1002,bud growth,NA,cytoplasm,0,102,0.4768662,0.08813823,blue,16,0.3371554,0.041666667,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,0.15,-0.02,-0.07,-0.22,-0.06,-0.07,0.2,0.2,0.11,0.03,-0.33,0.27,-0.15,-0.83,1.09,0.11,0.01,0.94,-0.18,0.46,0.1,0.16,-0.75,0.03,-0.01,-0.32,0.29,-0.18,-0.27,-0.11,0.02,-0.36,-0.11,0.48,-0.2,0.27,0.29,-0.34,-0.05,0.23,0.08,-0.45,0.25
YAL022C,S000000020,FUN26,1554,nucleoside transport,nucleoside transporter activity,membrane,0,932,0.5305825,0.09342947,blue,310,0.4517623,0.08656436,green,46,0.2781874,0.125603865,grey,20,0.2298365,0.1368421,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.22,0.89,-0.36,0.29,-0.14,-0.19,-0.52,0.04,0.04,0.37,0.24,0.13,0.22,0.04,-0.22,-0.1,0.22,0.61,-0.63,-0.66,-0.24,-0.82,-0.84,-0.89,0.57,0.64,0.54,0.66,0.28,-0.26,-1.16,-0.71,-0.71,-0.24,-0.75,-0.11,-0.42,-0.01,0.53,0.58,1.49,0.72,0.51,0.29
YAL023C,S000000021,PMT2,2280,O-linked glycosylation,dolichyl-phosphate-mannose-protein mannosyltransferase activity,endoplasmic reticulum,0,1594,0.5549542,0.09183686,yellow,856,0.4952322,0.079146855,brown,200,0.3282581,0.081356784,yellow,134,0.2901728,0.07664684,10,0.47058824,0.06666667,grey,NA,NA,NA,NA,5.73E+01,0.98,-0.29,-0.57,-0.21,0.1,0.63,0.41,0.35,0.02,-0.21,-0.3,-0.1,0.14,0.11,0.4,0.18,0.14,-0.26,-0.54,-0.1,0.59,0.14,0.14,-0.33,0.24,-0.1,-0.42,0.34,0.09,0.09,-1.15,-0.83,-0.76,-0.32,0.17,0.17,0.49,0.64,0.53,0.58,-0.03,0.49,0.04,-0.03
YAL024C,S000000022,LTE1,4308,regulation of exit from mitosis,guanyl-nucleotide exchange factor activity,bud,0,696,0.5220627,0.07962458,black,208,0.4381986,0.074368265,yellow,4,0.2417729,0,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,0.23,-0.19,-0.03,0.56,0.19,-0.22,0.29,-0.08,0.09,0.03,-0.17,-0.19,-0.09,0.32,0.01,-0.17,-0.21,-0.59,-0.01,0.41,0.2,0.5,0.59,0.54,0.14,-0.12,-0.08,-0.19,0.22,0.34,-0.32,-0.13,-0.13,0.1,0.4,0.26,-0.01,0.16,0.1,-0.13,-0.01,-0.53,-0.11
YAL025C,S000000023,MAK16,921,ribosomal large subunit biogenesis,NA,nucleolus,1,1960,0.569577,0.12279485,turquoise,1152,0.4995628,0.121790231,turquoise,452,0.3308367,0.117447952,turquoise,298,0.2907184,0.1171446,4,0.15589607,0,grey,NA,NA,NA,NA,2.33E+02,-0.74,0.1,0.17,-0.6,-0.42,0.21,0.15,0.2,0.69,0.32,0.05,0.15,-0.12,0.09,-0.23,0.13,0.45,0.23,-0.84,0.36,0.5,-0.26,0.27,-0.06,0.77,0.3,-0.26,0.13,-0.31,-0.13,-1.01,-0.39,0.03,0.58,1.12,0.58,0.18,0.18,-0.11,0.25,-0.13,-0.62,-0.34,-0.32
YAL026C,S000000024,DRS2,4068,processing of 20S pre-rRNA,ATPase activity,plasma membrane,0,616,0.5180723,0.10983001,turquoise,130,0.4194902,0.078234943,turquoise,12,0.2531982,0,grey,4,0.2090211,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18,0.18,0.06,-0.16,-0.41,0.06,-0.56,0.04,0.13,-0.06,0.39,-0.28,0.37,0.04,-0.21,0.61,-0.24,0.19,-0.31,-0.5,-0.08,NA,0.12,-0.3,0.55,0.01,-0.02,0.43,-0.03,0.31,-0.64,-0.51,NA,0.18,-0.09,-0.17,0.15,-0.05,0.4,0.8,-0.11,0.25,-0.59,0.39
YAL028W,S000000026,FRT2,1587,response to stress,NA,endoplasmic reticulum,0,644,0.5201613,0.08394753,grey,172,0.4353364,0.077655379,grey,10,0.239947,0.066666667,grey,2,0.1787757,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45,-0.62,-0.29,0.09,0.28,0.33,0.58,0.07,0.14,-0.25,-0.77,0.12,0.22,-0.26,0.07,0.66,-0.26,-0.17,NA,-1.87,-0.65,0.35,0.63,-0.17,0.57,-0.1,0.22,-0.25,0.47,0.35,0.76,-0.38,-0.15,-0.1,0.07,-0.31,-0.04,0.06,0.22,-0.03,-0.15,0.1,0.07,-0.12
YAL029C,S000000027,MYO4,4416,mRNA localization intracellular,microfilament motor activity,actin cap (sensu Fungi),0,474,0.5119048,0.11255921,turquoise,102,0.4054547,0.074936905,turquoise,2,0.2020529,0,grey,2,0.1728947,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,-0.03,0.04,-0.21,-0.23,-0.12,-0.31,-0.06,0.07,0.11,0.46,-0.62,0.29,-0.09,-0.28,0.63,0.19,0.38,-0.15,-0.03,-0.5,-0.49,0.21,-0.43,0.33,0.2,-0.14,0.26,0.2,-0.12,-0.74,-0.25,NA,0.14,0.03,-0.05,0.49,-0.14,0.05,0.48,0.13,0.2,-0.52,0.19
YAL030W,S000000028,SNC1,467,endocytosis,v-SNARE activity,transport vesicle,0,778,0.5245966,0.0837775,grey,232,0.4459686,0.066726377,grey,10,0.2469826,0,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.74,-0.32,-0.13,0.03,-0.05,0.12,0.11,-0.12,0.21,-0.02,-0.19,-0.03,0.32,-0.21,0.11,0.32,-0.01,0.1,0.34,-0.42,-0.34,-0.53,0.01,-0.76,0.29,-0.24,-0.32,0.85,0.17,NA,0.73,-0.11,0.09,0.25,0.24,-0.24,-0.05,-0.05,-0.08,-0.35,0.03,-0.11,-0.29,-0.05
YAL031C,S000000029,FUN21,2283,NA,NA,cytoplasm,0,298,0.5032088,0.09438908,brown,52,0.381402,0.055806938,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14,0.1,-0.12,-0.5,-0.39,-0.15,-0.41,0.03,0.13,-0.08,0.18,-0.15,0.14,-0.1,-0.52,0.65,0.16,0.34,0.29,-0.62,-0.23,-0.19,0.07,-0.46,0.14,-0.1,-0.1,0.36,-0.04,0.14,0.45,-0.03,NA,-0.18,-0.47,-0.37,0.33,-0.17,-0.06,0.17,-0.13,0.19,-0.15,0.42
YAL034C,S000002134,FUN19,1242,NA,NA,NA,0,556,0.5150696,0.11655973,turquoise,96,0.4036947,0.1,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43,0.01,-0.54,0.05,-0.31,-0.27,-0.27,0.19,-0.38,0,0.3,-0.09,-0.02,0.58,0.03,0.14,-0.27,0.33,0.27,-0.37,-0.18,-0.01,0.44,0.15,0.47,0.39,0.08,-0.14,-0.14,0.21,1.14,0.11,-0.68,0,-0.29,-0.36,-0.19,0.07,0.07,0.01,-0.25,0.1,0.07,0.19
YAL035W,S000000033,FUN12,3009,translational initiation,GTPase activity,cytosolic small ribosomal subunit (sensu Eukarya),0,1426,0.5488608,0.12117418,turquoise,568,0.4671183,0.131076583,turquoise,44,0.2933506,0.110993658,grey,12,0.24197,0.04545454,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.14,-0.35,-0.6,-0.32,-0.22,0.17,-0.15,0.2,0.13,-0.13,0.56,0.52,-0.23,0.5,0.69,-0.22,0.34,-0.88,0.1,0.53,-0.24,0,-0.18,0.43,0.07,-0.17,0.58,-0.12,-0.02,-0.51,-0.08,-0.15,0.36,0.43,0.36,0.25,0.12,-0.05,0.04,-0.05,-0.14,-0.27,-0.3
YAL036C,S000000034,RBG1,1110,NA,GTP binding,cytoplasm,0,1784,0.5623682,0.11842727,turquoise,1008,0.4898334,0.113311975,turquoise,276,0.3242614,0.114123847,brown,146,0.2702355,0.11270666,2,0.14885496,0,grey,NA,NA,NA,NA,0.00E+00,-1.06,0.21,0.04,-0.4,-0.6,-0.1,-0.35,0.46,-0.08,0.39,0.13,0.11,0.09,0.28,0.16,-0.02,0.25,0.22,0.01,0.04,0.66,NA,0.18,-0.47,0.27,0.01,-0.3,0.39,-0.35,-0.14,-1.22,-0.44,-0.49,0.53,0.83,0.25,0.48,-0.05,0.24,0.46,-0.24,-0.18,-0.37,0.2
YAL037W,S000000035,NA,804,NA,NA,NA,0,688,0.521382,0.0932983,blue,182,0.4280668,0.100479631,blue,6,0.2438893,0,grey,4,0.1865752,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,-0.29,0.07,0.18,0.08,0.27,0.16,0.05,0.08,-0.08,-0.03,-0.15,-0.06,-0.15,-0.24,0.02,0.05,0.05,1.11,-0.13,0.56,0.02,0.08,-0.47,0.16,-0.18,-0.31,-0.92,0.08,0.25,-0.14,-0.11,0.18,-0.16,0.29,0.08,-0.11,0,0.2,0.14,0.1,-0.07,-0.32,-0.09
YAL038W,S000000036,CDC19,1503,glycolysis,pyruvate kinase activity,cytosol,1,366,0.5054348,0.12044315,turquoise,152,0.4019095,0.173579644,grey,86,0.2653091,0.230916553,grey,82,0.2341596,0.23215899,4,0.10904007,0,blue,NA,NA,NA,NA,7.66E-01,-0.34,0.49,-0.07,-0.21,-0.18,-0.1,-0.4,0.13,-0.1,0.14,0.26,-0.1,0.06,-0.07,0.21,0.33,0.05,0.47,0.23,-0.42,0.35,-0.06,0.65,-0.68,0.28,0.05,-0.45,NA,-2.69,-0.17,-0.64,-0.35,0.06,0.74,0.38,0.01,0.43,-0.07,0.21,0.04,-0.86,-0.35,0.19,0.2
YAL039C,S000000037,CYC3,810,cytochrome c-heme linkage,holocytochrome-c synthase activity,mitochondrial intermembrane space,0,756,0.5243902,0.0713655,purple,222,0.4490231,0.056948351,grey,6,0.2209749,0.066666667,grey,4,0.1641157,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18,0.11,0.36,0.19,-0.45,0.06,0.23,-0.13,-0.08,0.17,0.13,0.09,-0.16,-0.18,0.21,0.04,0.09,-0.15,0.83,0.1,-0.31,-0.49,0.06,-0.67,-0.01,0,-0.1,0.68,0.33,-0.29,-0.2,-0.1,-0.55,0.32,0.13,-0.34,-0.55,0.1,0.25,0.18,-0.05,0.27,0.49,0.04
YAL040C,S000000038,CLN3,1743,G1/S transition of mitotic cell cycle,cyclin-dependent protein kinase regulator activity,nucleus,0,324,0.5072942,0.06407904,purple,94,0.3934475,0.075268817,grey,10,0.2311718,0.044444444,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.43,0.72,1.04,0.47,-1.03,-0.63,-0.68,0.1,-0.02,0.53,0.68,0.51,-0.2,-0.34,-0.31,-0.25,0.11,0.44,-0.05,-0.15,-0.58,-0.58,0.18,-0.67,0.29,0.2,0.02,1.32,0.27,-0.41,-0.73,-0.05,-0.31,0.43,0.1,0.12,-0.4,-0.42,0.07,0.19,-0.21,0.48,0.47,0.25
YAL042W,S000000040,ERV46,1248,ER to Golgi transport,NA,integral to endoplasmic reticulum membrane,0,1020,0.5334845,0.09159307,green,420,0.4622587,0.09056711,turquoise,38,0.2969826,0.113798009,grey,10,0.2341596,0.13333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42,0.31,-0.26,-0.06,-0.14,0.21,-0.08,0.32,-0.01,0.08,0,-0.12,0.08,0.06,0.11,0.11,0.17,0.11,0,-0.17,0.21,-0.2,0.26,-0.73,-0.04,0.21,-0.2,0.75,-0.14,-0.04,-0.6,-0.27,-0.48,-0.07,-0.19,0.06,-0.08,0.23,0.49,0.33,0.06,0.16,0.24,0.11
YAL044C,S000000042,GCV3,513,one-carbon compound metabolism,glycine dehydrogenase (decarboxylating) activity,mitochondrion,0,954,0.531358,0.08208878,brown,304,0.4524267,0.071174223,black,12,0.2591586,0.075757576,grey,2,0.1892432,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.89,0.21,-0.53,-0.03,-0.03,-0.03,-0.1,0.12,0.25,0.14,0.01,-0.03,-0.03,0.01,0.17,-0.15,0.55,0.11,-0.13,-0.28,-0.08,-0.64,-0.82,-1.01,-0.24,-0.32,-0.28,1.03,0.31,-0.15,-0.31,-0.14,0.44,0.1,-0.16,-0.43,-0.75,-0.26,0.13,0.31,0.05,0.48,0.13,0.41
YAL045C,NA,NA,NA,NA,NA,NA,0,174,0.4889949,0.09780081,brown,20,0.3588156,0.089473684,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56,-0.18,-0.01,0.36,-0.01,0.16,0.38,0.19,0.18,0.1,0.02,-0.18,-0.18,0.04,0.07,0,-0.96,0.13,-0.1,0.12,0.32,-0.33,-0.11,-0.31,-0.14,0.08,0.06,0.6,0.14,-0.09,0.4,-0.17,0,-0.26,0.11,-0.55,-0.11,0.3,0.19,0,0.11,0.04,0.02,-0.06
YAL048C,S000000046,GEM1,1989,vesicle-mediated transport,NA,integral to membrane,0,286,0.5027027,0.08897068,grey,62,0.3886675,0.07985193,grey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,-0.2,-0.13,-0.48,0.04,-0.27,0.02,0.08,0.05,-0.06,0.25,-0.69,0.09,-0.1,-0.16,0.44,0.21,0.02,0.1,-0.72,-0.1,0.28,0.28,0,0.55,0.19,0.28,0.19,0,0.87,0.56,0.06,NA,-0.04,-0.44,-0.22,0.42,0,-0.06,0.17,-0.02,-0.33,-0.13,0.01
YAL049C,S000000047,NA,741,NA,NA,cytoplasm,0,1384,0.5467596,0.11716278,turquoise,540,0.4698625,0.124263039,turquoise,46,0.2991658,0.133333333,grey,8,0.2314844,0.03571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.22,0.36,-0.05,0.23,0.2,0.2,0.17,-0.13,0.03,-0.23,-0.2,-0.06,0.47,-0.17,0.05,-0.01,-0.12,-0.12,0.65,-0.2,0.03,-0.66,0.07,-0.69,-0.32,-0.31,-0.21,0.44,0.29,0.03,0.67,0.09,0.05,0.08,0.06,-0.45,-0.34,-0.04,0.01,-0.2,-0.34,0.2,-0.14,0.34
YAL051W,S000000048,OAF1,3144,peroxisome organization and biogenesis,DNA binding,nucleus,0,1172,0.5390214,0.10906783,turquoise,428,0.4669547,0.106053974,turquoise,70,0.3003317,0.111801242,black,20,0.2534288,0.14736842,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,-0.32,-0.2,0,-0.41,0.16,-0.23,0.05,0,0.04,0.16,-0.15,0.08,-0.08,0.03,0.37,0.32,-0.04,0.64,-0.17,-0.07,-0.11,0.11,-0.38,0,0.23,0.2,0.09,-0.07,0.07,2.63,-0.15,NA,0.06,-0.1,-0.27,0.22,-0.25,-0.04,-0.38,-0.52,0.15,-1.24,-0.1
